XLC,THE COMMUN.SVCS SEL.S.SPDR FD REGISTERED SHARES O.N.
XLY,SELECT SECTOR SPDR-CONSUMER D. REG. SHS BENEF.INT. O.N
XLP,SELECT SECTOR SPDR-CONSUMER S. REG. SHS BENEF.INT. O.N.
XLE,ENERGY SELECT SECTOR SPDR® FUND (MXN) XLE
XLF,SELECT SECTOR SPDR-FINANCIAL REG.SHS BENEF.INT. O.N.
XLV,SELECT SECTOR SPDR-HEALTH CARE REG. SHS OF BENEF.INT. O.N.
XLI,SELECT SECTOR SPDR-INDUSTRIAL REG.SHS OF BENEF.INT. O.N.
XLB,SELECT SECTOR SPDR- MATERIALS REG.SHS OF BEN.INT. O.N.
XLRE,REAL ESTATE SEL.SECTOR SPDR FD REGISTERED SHARES O.N.
XLK,SELECT SECTOR SPDR-TECHNOLOGY REG.SHS OF BENEF.INT. ON
XLU,SELECT SECTOR SPDR-UTILITIES REG. SHS BENEF.INT. O.N.
